"productId","productName","missingBrand","missingManufacturer","knownBrand","knownManufacturer","manufacturerRefs","sourceUrl","priority","status","requiredEvidence"
"public-9ebe97ece94f7a543bf2a73b","Абатмент с цементной фиксацией 3,5 CF GH 4,0 NP","true","true","","","","https://amdgroup.kz/catalog/pryamoy_tip/abatment_s_tsementnoy_fiksatsiey_3_5_cf_gh_4_0_np/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
"public-71c552e1fbd3286ce463c749","Абатмент с цементной фиксацией 3,5 CF GH 5,0 NP","true","true","","","","https://amdgroup.kz/catalog/pryamoy_tip/abatment_s_tsementnoy_fiksatsiey_3_5_cf_gh_5_0_np/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
"public-49e06e83cc6ab9819d661f58","Абатмент с цементной фиксацией 4,5 CF GH 1,0 NP","true","true","","","","https://amdgroup.kz/catalog/pryamoy_tip/abatment_s_tsementnoy_fiksatsiey_4_5_cf_gh_1_0_np/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
"public-16387ecf19f15af1cba8ee17","Абатмент с цементной фиксацией 4,5 CF GH 1,0 SP","true","true","","","","https://amdgroup.kz/catalog/pryamoy_tip/abatment_s_tsementnoy_fiksatsiey_4_5_cf_gh_1_0_sp_/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
"public-9736edb1d93bb3381545a5ef","Абатмент с цементной фиксацией 4,5 CF GH 2,0 NP","true","true","","","","https://amdgroup.kz/catalog/pryamoy_tip/abatment_s_tsementnoy_fiksatsiey_4_5_cf_gh_2_0_np/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
"public-80402773a51917aa83c87d51","Абатмент с цементной фиксацией 4,5 CF GH 2,0 SP","true","true","","","","https://amdgroup.kz/catalog/pryamoy_tip/abatment_s_tsementnoy_fiksatsiey_4_5_cf_gh_2_0_sp/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
"public-823939ea82adc3a2dfedea97","Абатмент с цементной фиксацией 4,5 CF GH 3,0 NP","true","true","","","","https://amdgroup.kz/catalog/pryamoy_tip/abatment_s_tsementnoy_fiksatsiey_4_5_cf_gh_3_0_np/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
"public-d5f72405155138ef0de3df63","Абатмент с цементной фиксацией 4,5 CF GH 3,0 SP","true","true","","","","https://amdgroup.kz/catalog/pryamoy_tip/abatment_s_tsementnoy_fiksatsiey_4_5_cf_gh_3_0_sp/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
"public-26f20c27fa389d86c757bfd5","Абатмент с цементной фиксацией 4,5 CF GH 4,0 NP","true","true","","","","https://amdgroup.kz/catalog/pryamoy_tip/abatment_s_tsementnoy_fiksatsiey_4_5_cf_gh_4_0_np/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
"public-3db026a8342472ddaa948744","Абатмент с цементной фиксацией 4,5 CF GH 4,0 SP","true","true","","","","https://amdgroup.kz/catalog/pryamoy_tip/abatment_s_tsementnoy_fiksatsiey_4_5_cf_gh_4_0_sp/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
"public-b55091c33ed6961ad7968b45","Абатмент с цементной фиксацией 4,5 CF GH 5,0 NP","true","true","","","","https://amdgroup.kz/catalog/pryamoy_tip/abatment_s_tsementnoy_fiksatsiey_4_5_cf_gh_5_0_np/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
"public-1e4f76c64ce32e4dd9683972","Абатмент с цементной фиксацией 4,5 CF GH 5,0 SP","true","true","","","","https://amdgroup.kz/catalog/pryamoy_tip/abatment_s_tsementnoy_fiksatsiey_4_5_cf_gh_5_0_sp/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
"public-ed78514d4bdb94f24fec1f88","Абатмент титановый временный для коронки 3,5 CF GH 0,5 NP","true","true","","","","https://amdgroup.kz/catalog/dlya_koronki/abatment_titanovyy_vremennyy_dlya_koronki_3_5_cf_gh_0_5_np/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
"public-6c39fa32583105a8f0c387bb","Абатмент титановый временный для коронки 3,5 CF GH 1,0 NP","true","true","","","","https://amdgroup.kz/catalog/dlya_koronki/abatment_titanovyy_vremennyy_dlya_koronki_3_5_cf_gh_1_0_np/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
"public-9e243ab25cdc67946e505fe1","Абатмент титановый временный для коронки 3,5 CF GH 3,0 NP","true","true","","","","https://amdgroup.kz/catalog/dlya_koronki/abatment_titanovyy_vremennyy_dlya_koronki_3_5_cf_gh_3_0_np/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
"public-2cc4e29e64891462725fca00","Абатмент титановый временный для коронки 4,5 CF GH 0,5 NP","true","true","","","","https://amdgroup.kz/catalog/dlya_koronki/abatment_titanovyy_vremennyy_dlya_koronki_4_5_cf_gh_0_5_np/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
"public-d30db04307769dd1b6f79032","Абатмент титановый временный для коронки 4,5 CF GH 0,5 SP","true","true","","","","https://amdgroup.kz/catalog/dlya_koronki/abatment_titanovyy_vremennyy_dlya_koronki_4_5_cf_gh_0_5_sp/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
"public-24f918d8072761ae41b9d0f6","Абатмент титановый временный для коронки 4,5 CF GH 1,0 NP","true","true","","","","https://amdgroup.kz/catalog/dlya_koronki/abatment_titanovyy_vremennyy_dlya_koronki_4_5_cf_gh_1_0_np/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
"public-b514affe62f6cb2f3df6ee36","Абатмент титановый временный для коронки 4,5 CF GH 1,0 SP","true","true","","","","https://amdgroup.kz/catalog/dlya_koronki/abatment_titanovyy_vremennyy_dlya_koronki_4_5_cf_gh_1_0_sp/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
"public-51a9ff840e49562b9adb5672","Абатмент титановый временный для коронки 4,5 CF GH 3,0 NP","true","true","","","","https://amdgroup.kz/catalog/dlya_koronki/abatment_titanovyy_vremennyy_dlya_koronki_4_5_cf_gh_3_0_np/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
"public-08dc12e9ad13f646f459cd11","Абатмент титановый временный для коронки 4,5 CF GH 3,0 SP","true","true","","","","https://amdgroup.kz/catalog/dlya_koronki/abatment_titanovyy_vremennyy_dlya_koronki_4_5_cf_gh_3_0_sp/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
"public-531bd639b43fedd00a2e8a65","Абатмент титановый временный для коронки 5,5 CF GH 0,5 SP","true","true","","","","https://amdgroup.kz/catalog/dlya_koronki/abatment_titanovyy_vremennyy_dlya_koronki_5_5_cf_gh_0_5_sp/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
"public-5880d639515f7e4a3b2959e3","Абатмент титановый временный для коронки 5,5 CF GH 1,0 SP","true","true","","","","https://amdgroup.kz/catalog/dlya_koronki/abatment_titanovyy_vremennyy_dlya_koronki_5_5_cf_gh_1_0_sp/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
"public-7c2b7b6ffc04e45b9b6e641e","Абатмент титановый временный для коронки 5,5 CF GH 3,0 SP","true","true","","","","https://amdgroup.kz/catalog/dlya_koronki/abatment_titanovyy_vremennyy_dlya_koronki_5_5_cf_gh_3_0_sp/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
